China,1439323776,9388211
India,1380004385,2973190
United States,331002651,9147420
Indonesia,273523615,1811570
Pakistan,220892340,770880
Brazil,212559417,8358140
Nigeria,206139589,910770
Bangladesh,164689383,130170
Russia,145934462,16376870
Mexico,128932753,1943950
Japan,126476461,364555
Ethiopia,114963588,1000000
Philippines,109581078,298170
Egypt,102334404,995450
Vietnam,97338579,310070
DR Congo,89561403,2267050
Turkey,84339067,769630
Iran,83992949,1628550
Germany,83783942,348560
Thailand,69799978,510890
United Kingdom,67886011,241930
France,65273511,547557
Italy,60461826,294140
Tanzania,59734218,885800
South Africa,59308690,1213090
Myanmar,54409800,653290
Kenya,53771296,569140
South Korea,51269185,97230
Colombia,50882891,1109500
Spain,46754778,498800
Uganda,45741007,199810
Argentina,45195774,2736690
Algeria,43851044,2381740
Sudan,43849260,1765048
Ukraine,43733762,579320
Iraq,40222493,434320
Afghanistan,38928346,652860
Poland,37846611,306230
Canada,37742154,9093510
Morocco,36910560,446300
Saudi Arabia,34813871,2149690
Uzbekistan,33469203,425400
Peru,32971854,1280000
Angola,32866272,1246700
Malaysia,32365999,328550
Mozambique,31255435,786380
Ghana,31072940,227540
Yemen,29825964,527970
Nepal,29136808,143350
Venezuela,28435940,882050
Madagascar,27691018,581795
Cameroon,26545863,472710
Côte d'Ivoire,26378274,318000
North Korea,25778816,120410
Australia,25499884,7682300
Niger,24206644,1266700
Taiwan,23816775,35410
Sri Lanka,21413249,62710
Burkina Faso,20903273,273600
Mali,20250833,1220190
Romania,19237691,230170
Malawi,19129952,94280
Chile,19116201,743532
Kazakhstan,18776707,2699700
Zambia,18383955,743390
Guatemala,17915568,107160
Ecuador,17643054,248360
Syria,17500658,183630
Netherlands,17134872,33720
Senegal,16743927,192530
Cambodia,16718965,176520
Chad,16425864,1259200
Somalia,15893222,627340
Zimbabwe,14862924,386850
Guinea,13132795,245720
Rwanda,12952218,24670
Benin,12123200,112760
Burundi,11890784,25680
Tunisia,11818619,155360
Bolivia,11673021,1083300
Belgium,11589623,30280
Haiti,11402528,27560
Cuba,11326616,106440
South Sudan,11193725,610952
Dominican Republic,10847910,48320
Czech Republic (Czechia),10708981,77240
Greece,10423054,128900
Jordan,10203134,88780
Portugal,10196709,91590
Azerbaijan,10139177,82658
Sweden,10099265,410340
Honduras,9904607,111890
United Arab Emirates,9890402,83600
Hungary,9660351,90530
Tajikistan,9537645,139960
Belarus,9449323,202910
Austria,9006398,82409
Papua New Guinea,8947024,452860
Serbia,8737371,87460
Israel,8655535,21640
Switzerland,8654622,39516
Togo,8278724,54390
Sierra Leone,7976983,72180
Hong Kong,7496981,1050
Laos,7275560,230800
Paraguay,7132538,397300
Bulgaria,6948445,108560
Libya,6871292,1759540
Lebanon,6825445,10230
Nicaragua,6624554,120340
Kyrgyzstan,6524195,191800
El Salvador,6486205,20720
Turkmenistan,6031200,469930
Singapore,5850342,700
Denmark,5792202,42430
Finland,5540720,303890
Congo,5518087,341500
Slovakia,5459642,48088
Norway,5421241,365268
Oman,5106626,309500
State of Palestine,5101414,6020
Costa Rica,5094118,51060
Liberia,5057681,96320
Ireland,4937786,68890
Central African Republic,4829767,622980
New Zealand,4822233,263310
Mauritania,4649658,1030700
Panama,4314767,74340
Kuwait,4270571,17820
Croatia,4105267,55960
Moldova,4033963,32850
Georgia,3989167,69490
Eritrea,3546421,101000
Uruguay,3473730,175020
Bosnia and Herzegovina,3280819,51000
Mongolia,3278290,1553560
Armenia,2963243,28470
Jamaica,2961167,10830
Qatar,2881053,11610
Albania,2877797,27400
Puerto Rico,2860853,8870
Lithuania,2722289,62674
Namibia,2540905,823290
Gambia,2416668,10120
Botswana,2351627,566730
Gabon,2225734,257670
Lesotho,2142249,30360
North Macedonia,2083374,25220
Slovenia,2078938,20140
Guinea-Bissau,1968001,28120
Latvia,1886198,62200
Bahrain,1701575,760
Equatorial Guinea,1402985,28050
Trinidad and Tobago,1399488,5130
Estonia,1326535,42390
Timor-Leste,1318445,14870
Mauritius,1271768,2030
Cyprus,1207359,9240
Eswatini,1160164,17200
Djibouti,988000,23180
Fiji,896445,18270
Réunion,895312,2500
Comoros,869601,1861
Guyana,786552,196850
Bhutan,771608,38117
Solomon Islands,686884,27990
Macao,649335,30
Montenegro,628066,13450
Luxembourg,625978,2590
Western Sahara,597339,266000
Suriname,586632,156000
Cabo Verde,555987,4030
Micronesia,548914,700
